species,station_id,station_name,n_years,first_year,last_year,mean_doy,ols_slope,ols_decade,ols_r,ols_p,gls_slope,gls_se,gls_p,ar1_rho,gls_transition
つばきの開花,米子,744,50,1954,2008,70.0,0.08568,0.857,0.0159,0.912697,0.08781,0.65622,0.894121,-0.2085,
つばきの開花,鳥取,746,67,1953,2020,109.3,2.32949,23.295,0.3553,0.003177,2.38196,0.82597,0.005346,0.0528,
つばきの開花,豊岡,747,37,1959,2007,76.2,-0.05921,-0.592,-0.0309,0.855712,-0.25819,0.37396,0.494619,0.0609,
つばきの開花,舞鶴,750,53,1954,2013,60.3,-0.05663,-0.566,-0.0526,0.708385,-0.05564,0.16466,0.736852,0.0368,
つばきの開花,浜田,755,51,1957,2007,197.5,4.82977,48.298,0.4213,0.002078,4.63079,2.24748,0.044799,0.3590,
つばきの開花,京都,759,56,1953,2020,72.9,0.24500,2.450,0.2983,0.025524,0.26993,0.13876,0.057047,0.2316,sig_to_ns
つばきの開花,彦根,761,65,1953,2020,63.7,0.07040,0.704,0.0342,0.787008,0.12153,0.22756,0.595228,-0.1537,
つばきの開花,下関,762,59,1953,2021,171.8,1.90929,19.093,0.2351,0.073079,2.43768,1.21556,0.049762,0.1357,ns_to_sig
つばきの開花,広島,765,54,1953,2020,74.3,1.34695,13.470,0.2530,0.064871,1.27939,1.05595,0.231249,0.3296,
つばきの開花,岡山,768,56,1964,2020,115.2,3.79171,37.917,0.4253,0.001086,3.98350,1.71151,0.023791,0.3839,
つばきの開花,神戸,770,57,1953,2020,86.7,1.37434,13.743,0.3205,0.015079,1.75165,0.98672,0.081496,0.4988,sig_to_ns
つばきの開花,大阪,772,32,1988,2020,56.1,3.92169,39.217,0.4649,0.007346,4.19240,1.13000,0.000874,-0.2427,
つばきの開花,洲本,776,48,1954,2003,153.2,-0.56856,-5.686,-0.0511,0.730228,-0.03539,1.95303,0.985621,0.1452,
つばきの開花,和歌山,777,48,1956,2020,47.7,0.18086,1.809,0.0601,0.684761,0.30015,0.49343,0.546046,0.0520,
つばきの開花,潮岬,778,24,1963,2009,289.8,7.66629,76.663,0.6616,0.000431,0.53623,30.18676,0.985995,FD,sig_to_ns
つばきの開花,奈良,780,66,1954,2020,59.6,0.28398,2.840,0.1278,0.306334,0.32302,0.31706,0.312189,0.1115,
つばきの開花,厳原,800,50,1953,2009,270.4,-2.15370,-21.537,-0.2573,0.071306,-2.06286,1.35347,0.134178,0.1082,
つばきの開花,福岡,807,62,1953,2020,56.4,-0.01624,-0.162,-0.0034,0.978770,0.43958,0.49116,0.374429,-0.1406,
つばきの開花,佐賀,813,47,1953,2020,50.9,0.81576,8.158,0.2582,0.079741,0.93288,0.51692,0.077973,0.0467,
つばきの開花,大分,815,55,1960,2020,56.2,0.20579,2.058,0.0407,0.767908,0.22483,0.67567,0.740659,-0.0679,
つばきの開花,長崎,817,68,1953,2020,104.4,3.22375,32.237,0.4349,0.000211,3.30369,0.70509,0.000015,-0.1805,
つばきの開花,熊本,819,68,1953,2020,179.9,-0.83195,-8.319,-0.0993,0.420661,-0.61501,1.22080,0.616121,0.1492,
つばきの開花,延岡,822,33,1962,1994,90.4,-6.43516,-64.352,-0.4422,0.009979,-10.81250,31.71826,0.735561,FD,sig_to_ns
つばきの開花,鹿児島,827,56,1954,2020,55.1,0.30453,3.045,0.0749,0.583319,0.22877,0.49494,0.645818,-0.1495,
つばきの開花,宮崎,830,64,1953,2020,45.4,-0.25504,-2.550,-0.0623,0.624908,-0.32045,0.48501,0.511288,-0.0958,
つばきの開花,屋久島,836,22,1953,1975,213.5,2.74154,27.415,0.1049,0.642296,1.38967,4.76916,0.773913,-0.2612,
つばきの開花,種子島,837,54,1953,2007,102.0,-2.81601,-28.160,-0.2986,0.028306,-3.26034,1.60452,0.047381,0.2224,
つばきの開花,福江,843,54,1955,2009,213.6,-2.81206,-28.121,-0.2629,0.054804,-2.73027,1.33823,0.046524,-0.1041,ns_to_sig
つばきの開花,松山,887,66,1955,2021,165.5,4.88765,48.877,0.6036,0.000000,4.97209,0.91247,0.000001,0.0929,
つばきの開花,高松,891,29,1991,2020,200.0,3.31350,33.135,0.1843,0.338652,-0.01786,35.32217,0.999600,FD,
つばきの開花,宇和島,892,52,1953,2005,124.5,-3.28969,-32.897,-0.3329,0.015887,-2.96264,1.50379,0.054490,0.1008,sig_to_ns
つばきの開花,高知,893,55,1954,2021,71.1,1.84880,18.488,0.2891,0.032300,1.94435,0.79829,0.018330,-0.1064,
つばきの開花,徳島,895,23,1998,2020,105.5,3.44664,34.466,0.1726,0.431071,0.83813,8.09338,0.918552,0.4930,
つばきの開花,名瀬,909,55,1953,2020,162.7,-0.05840,-0.584,-0.0064,0.962883,-0.11236,2.05543,0.956615,0.4200,
つばきの開花,与那国島,912,18,1958,2008,343.5,-0.29701,-2.970,-0.3734,0.126981,-0.42700,0.43032,0.336795,0.0034,
つばきの開花,西表島,917,44,1955,2002,76.2,-3.16268,-31.627,-0.3392,0.024309,-2.25086,1.72336,0.198805,0.2257,sig_to_ns
つばきの開花,石垣島,918,60,1956,2020,295.6,-2.55089,-25.509,-0.3613,0.004569,-2.69960,1.10521,0.017704,0.2030,
つばきの開花,宮古島,927,59,1954,2020,197.4,-2.46250,-24.625,-0.2629,0.044238,-2.39828,1.83154,0.195734,0.3604,sig_to_ns
つばきの開花,久米島,929,31,1963,2004,188.5,-2.18550,-21.855,-0.1394,0.454667,-1.32589,3.62218,0.717081,0.1207,
つばきの開花,那覇,936,30,1992,2021,181.4,8.38398,83.840,0.4189,0.021221,11.58621,43.38100,0.791437,FD,sig_to_ns
つばきの開花,名護,940,11,1992,2002,9.0,0.96364,9.636,0.5759,0.063733,1.25941,0.79457,0.151621,0.3437,
つばきの開花,南大東島,945,48,1971,2020,329.0,-0.79823,-7.982,-0.1664,0.258435,-0.84917,0.66209,0.206213,-0.0953,
たんぽぽの開花,稚内,401,63,1953,2020,130.7,-0.09588,-0.959,-0.3301,0.008244,-0.08938,0.03998,0.029121,0.0995,
たんぽぽの開花,留萌,406,56,1953,2008,126.6,-0.11183,-1.118,-0.2743,0.040771,-0.13627,0.06914,0.053974,0.2292,sig_to_ns
たんぽぽの開花,旭川,407,62,1953,2020,125.9,-0.09366,-0.937,-0.2899,0.022279,-0.09517,0.05046,0.064212,0.1901,sig_to_ns
たんぽぽの開花,網走,409,67,1953,2020,126.1,-0.11454,-1.145,-0.3596,0.002803,-0.10600,0.03790,0.006806,0.0047,
たんぽぽの開花,札幌,412,68,1953,2020,119.3,-0.05203,-0.520,-0.1437,0.242361,-0.04563,0.05439,0.404508,0.1802,
たんぽぽの開花,岩見沢,413,54,1953,2006,123.4,0.08298,0.830,0.1968,0.153788,0.10844,0.08099,0.186525,0.3055,
たんぽぽの開花,帯広,417,68,1953,2020,121.6,-0.04672,-0.467,-0.1817,0.138013,-0.04460,0.04025,0.272013,0.2239,
たんぽぽの開花,釧路,418,68,1953,2020,128.8,-0.10587,-1.059,-0.3539,0.003071,-0.09622,0.04362,0.030933,0.2147,
たんぽぽの開花,根室,420,51,1960,2010,127.0,0.07855,0.786,0.1276,0.372124,0.08915,0.17982,0.622323,0.5969,
たんぽぽの開花,室蘭,423,68,1953,2020,111.4,0.02248,0.225,0.0589,0.633160,0.04096,0.07369,0.580248,0.4091,
たんぽぽの開花,浦河,426,52,1953,2009,114.6,-0.29125,-2.913,-0.5875,0.000005,-0.30530,0.07403,0.000144,0.2259,
たんぽぽの開花,江差,428,55,1953,2007,115.1,-0.19574,-1.957,-0.4164,0.001565,-0.18313,0.07973,0.025675,0.2670,
たんぽぽの開花,函館,430,68,1953,2020,114.3,-0.18659,-1.866,-0.5177,0.000006,-0.18883,0.04795,0.000203,0.2010,
たんぽぽの開花,倶知安,433,52,1953,2006,130.9,-0.17437,-1.744,-0.4124,0.002380,-0.15550,0.06136,0.014512,0.0891,
たんぽぽの開花,紋別,435,52,1956,2007,127.6,-0.08529,-0.853,-0.2214,0.114759,-0.08689,0.05176,0.099573,-0.0652,
たんぽぽの開花,広尾,440,41,1958,1998,125.0,-0.03868,-0.387,-0.0559,0.728597,0.01834,0.14360,0.899064,0.2421,
たんぽぽの開花,新庄,520,40,1958,1997,117.4,-0.00263,-0.026,-0.0050,0.975478,-0.00075,0.08578,0.993038,-0.0408,
たんぽぽの開花,青森,575,64,1953,2020,118.3,0.17345,1.734,0.3705,0.002581,0.17010,0.09238,0.070422,0.4489,sig_to_ns
たんぽぽの開花,八戸,581,53,1953,2007,113.6,0.13893,1.389,0.3078,0.024938,0.15613,0.08966,0.087774,0.3473,sig_to_ns
たんぽぽの開花,秋田,582,66,1953,2020,112.6,0.02601,0.260,0.0747,0.551010,0.01831,0.05123,0.721971,0.1376,
たんぽぽの開花,盛岡,584,68,1953,2020,107.2,0.00796,0.080,0.0245,0.842534,0.02031,0.04629,0.662243,0.1276,
たんぽぽの開花,宮古,585,51,1953,2007,100.3,0.22497,2.250,0.4328,0.001513,0.36599,0.12255,0.004433,0.5666,
たんぽぽの開花,酒田,587,57,1953,2009,105.8,-0.22440,-2.244,-0.4096,0.001555,-0.21462,0.10962,0.055431,0.4244,sig_to_ns
たんぽぽの開花,山形,588,67,1953,2020,110.1,0.04426,0.443,0.1403,0.257336,0.05783,0.04951,0.247133,0.2297,
たんぽぽの開花,仙台,590,68,1953,2020,95.3,-0.21272,-2.127,-0.4391,0.000180,-0.23834,0.07736,0.003024,0.3356,
たんぽぽの開花,福島,595,68,1953,2020,90.8,-0.03592,-0.359,-0.0665,0.589800,-0.04161,0.06169,0.502379,-0.0999,
たんぽぽの開花,白河,597,45,1953,1997,97.2,-0.03676,-0.368,-0.0478,0.755292,-0.01106,0.17030,0.948535,0.3164,
